i,t,m,Females 00-03,Females 04-08,Females 09-13,Females 14-18,Females 19-30,Females 31-50,Females 51-99,Males 00-03,Males 04-08,Males 09-13,Males 14-18,Males 19-30,Males 31-50,Males 51-99,log HSize
1010201403036,2013-14,Tigray,0,1,1,0,0,1,0,1,0,0,2,0,1,0,1.945910149
1010201403036,2015-16,Tigray,0,0,2,0,0,1,0,0,1,0,1,1,1,1,1.945910149
1010201403046,2011-12,Tigray,0,0,1,0,0,1,0,0,1,1,3,2,0,1,2.302585093
1010201403046,2013-14,Tigray,0,0,1,0,0,1,0,0,0,1,2,4,0,1,2.302585093
1010201403046,2015-16,Tigray,0,0,0,0,1,1,0,0,0,0,1,5,0,1,2.197224577
1010201403061,2011-12,Tigray,0,0,1,0,0,0,1,0,0,0,2,2,0,1,1.945910149
1010201403061,2013-14,Tigray,0,0,0,1,0,0,1,0,0,0,0,4,0,1,1.945910149
1010201403061,2015-16,Tigray,0,0,0,0,2,0,1,0,0,0,0,4,1,0,2.197224577
1010201403091,2011-12,Tigray,0,0,0,0,1,0,0,0,2,1,0,0,1,0,1.609437912
1010201403091,2013-14,Tigray,0,0,0,0,0,1,0,1,3,2,0,0,1,0,2.079441542
1010201403091,2015-16,Tigray,1,0,0,0,1,0,0,0,3,2,1,0,1,0,2.197224577
1010201403106,2011-12,Tigray,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1.098612289
1010201403106,2013-14,Tigray,0,1,0,0,1,0,0,2,0,0,0,0,1,0,1.609437912
1010201403106,2015-16,Tigray,0,0,1,0,1,0,0,1,1,0,0,0,1,1,1.609437912
1010201403121,2011-12,Tigray,0,1,0,0,1,0,1,0,0,0,1,2,0,1,1.945910149
1010201403121,2013-14,Tigray,0,0,1,0,0,1,1,0,1,0,1,2,0,1,2.079441542
1010201403121,2015-16,Tigray,0,0,1,0,0,0,1,0,0,1,0,2,0,0,1.791759469
1010201403136,2011-12,Tigray,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
1010201403136,2013-14,Tigray,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0.6931471806
1010201403136,2015-16,Tigray,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0.6931471806
010102088801010034,2018-19,Tigray,0,0,0,0,0,1,0,0,1,0,1,0,0,0,1.098612289
010102088801010035,2018-19,Tigray,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0.6931471806
010102088801010048,2018-19,Tigray,0,0,0,0,0,1,0,0,0,1,1,0,0,0,1.098612289
010102088801010068,2018-19,Tigray,1,2,0,1,0,1,0,1,0,2,0,0,1,0,2.197224577
010102088801010090,2018-19,Tigray,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
010102088801010104,2018-19,Tigray,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0.6931471806
010102088801010113,2018-19,Tigray,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1.098612289
010102088801010136,2018-19,Tigray,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
010102088801010148,2018-19,Tigray,0,1,1,0,2,1,0,0,1,0,3,0,1,0,2.302585093
010102088801010161,2018-19,Tigray,0,0,0,0,1,0,0,1,2,0,0,0,1,1,1.609437912
010102088801010173,2018-19,Tigray,0,0,1,1,1,0,0,0,1,0,0,1,0,0,1.791759469
1010300106004,2011-12,Tigray,0,0,1,0,1,0,0,0,0,0,0,1,0,0,1.098612289
1010300106004,2013-14,Tigray,1,0,1,0,1,0,0,0,0,0,0,0,1,0,1.386294361
1010300106004,2015-16,Tigray,1,0,0,0,1,0,0,0,0,0,0,1,0,0,1.098612289
1010300106016,2011-12,Tigray,0,1,1,0,1,0,0,0,0,0,0,0,0,0,1.098612289
1010300106016,2013-14,Tigray,0,1,1,0,1,0,0,0,0,0,0,0,1,0,1.386294361
1010300106016,2015-16,Tigray,0,0,2,0,1,0,0,0,0,0,0,0,1,0,1.386294361
1010300106028,2011-12,Tigray,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
